Ref,Val,Package,PosX,PosY,Rot,Side
"MX1","MX-NoLED","MXOnly-1U-Hotswap",67.468750,-66.675000,0.000000,top
"MX2","MX-NoLED","MXOnly-1U-Hotswap",86.518750,-66.675000,0.000000,top
"MX3","MX-NoLED","MXOnly-1U-Hotswap",105.568750,-66.675000,0.000000,top
"MX4","MX-NoLED","MXOnly-1U-Hotswap",124.618750,-66.675000,0.000000,top
"MX5","MX-NoLED","MXOnly-1U-Hotswap",143.668750,-66.675000,180.000000,top
"MX6","MX-NoLED","MXOnly-1U-Hotswap",162.718750,-66.675000,180.000000,top
"MX7","MX-NoLED","MXOnly-1U-Hotswap",181.768750,-66.675000,0.000000,top
"MX8","MX-NoLED","MXOnly-1U-Hotswap",200.818750,-66.675000,0.000000,top
"MX9","MX-NoLED","MXOnly-1U-Hotswap",219.868750,-66.675000,0.000000,top
"MX10","MX-NoLED","MXOnly-1.25U-Hotswap",241.300000,-66.675000,0.000000,top
"MX11","MX-NoLED","MXOnly-1.25U-Hotswap",69.850000,-85.725000,0.000000,top
"MX12","MX-NoLED","MXOnly-1U-Hotswap",91.281250,-85.725000,0.000000,top
"MX13","MX-NoLED","MXOnly-1U-Hotswap",110.331250,-85.725000,0.000000,top
"MX14","MX-NoLED","MXOnly-1U-Hotswap",129.381250,-85.725000,0.000000,top
"MX15","MX-NoLED","MXOnly-1U-Hotswap",148.431250,-85.725000,0.000000,top
"MX16","MX-NoLED","MXOnly-1U-Hotswap",167.481250,-85.725000,0.000000,top
"MX17","MX-NoLED","MXOnly-1U-Hotswap",186.531250,-85.725000,0.000000,top
"MX18","MX-NoLED","MXOnly-1U-Hotswap",205.581250,-85.725000,0.000000,top
"MX19","MX-NoLED","MXOnly-1U-Hotswap",224.631250,-85.725000,0.000000,top
"MX20","MX-NoLED","MXOnly-1U-Hotswap",243.681250,-85.725000,0.000000,top
"MX21","MX-NoLED","MXOnly-1.75U-Hotswap",74.612500,-104.775000,0.000000,top
"MX22","MX-NoLED","MXOnly-1U-Hotswap",67.468750,-123.825000,0.000000,top
"MX23","MX-NoLED","MXOnly-1U-Hotswap",100.806250,-104.775000,0.000000,top
"MX24","MX-NoLED","MXOnly-1U-Hotswap",119.856250,-104.775000,0.000000,top
"MX25","MX-NoLED","MXOnly-1U-Hotswap",138.906250,-104.775000,0.000000,top
"MX26","MX-NoLED","MXOnly-1U-Hotswap",157.956250,-104.775000,0.000000,top
"MX27","MX-NoLED","MXOnly-1U-Hotswap",177.006250,-104.775000,0.000000,top
"MX28","MX-NoLED","MXOnly-1U-Hotswap",196.056250,-104.775000,0.000000,top
"MX29","MX-NoLED","MXOnly-1U-Hotswap",215.106250,-104.775000,0.000000,top
"MX30","MX-NoLED","MXOnly-1.5U-Hotswap",238.918750,-104.775000,0.000000,top
"MX31","MX-NoLED","MXOnly-1U-Hotswap",86.518750,-123.825000,0.000000,top
"MX32","MX-NoLED","MXOnly-1U-Hotswap",105.568750,-123.825000,0.000000,top
"MX33","MX-NoLED","MXOnly-2.75U-Hotswap-ReversedStabilizers",122.237500,-123.825000,0.000000,top
"MX34","MX-LED","MXOnly-1.25U-Hotswap-LED",160.337500,-123.825000,180.000000,top
"MX35","MX-NoLED","MXOnly-2.25U-Hotswap-ReversedStabilizers",193.675000,-123.825000,0.000000,top
"MX36","MX-NoLED","MXOnly-1U-Hotswap",205.581250,-123.825000,0.000000,top
"MX37","MX-NoLED","MXOnly-1U-Hotswap",224.631250,-123.825000,0.000000,top
"MX38","MX-NoLED","MXOnly-1U-Hotswap",243.681250,-123.825000,0.000000,top
"MX39","MX-NoLED","MXOnly-2.25U-Hotswap-ReversedStabilizers",136.525000,-123.825000,0.000000,top
"MX40","MX-NoLED","MXOnly-2U-Hotswap-ReversedStabilizers",177.006250,-123.825000,0.000000,top
"MX41","MX-LED","MXOnly-6.25U-Hotswap-ReversedStabilizers-LED",155.575000,-123.825000,0.000000,top
